constructor_ref,name,nationality,team_color
alfa,Alfa Romeo,Swiss,
alphatauri,AlphaTauri,Italian,
ferrari,Ferrari,Italian,#dc0000
haas,Haas F1 Team,American,#ffffff
mclaren,McLaren,British,#ff8700
mercedes,Mercedes,German,#00d2be
racing_point,Racing Point,British,
red_bull,Red Bull,Austrian,#fcd700
renault,Renault,French,
williams,Williams,British,#00a0dd
alpine,Alpine F1 Team,French,#fe86bc
aston_martin,Aston Martin,British,#006f62
rb,RB F1 Team,Italian,
sauber,Sauber,Swiss,#00e701
